crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,total_rainfall,average_rainfall
Minor Pulses,20.450001,15.84,0.88599998,230,2017,12,Uttar Pradesh,45798,15564,4193,Kheri,1142.94137737,95.24511478083333
Minor Pulses,16.76,14.72,11.748,231,2017,12,Uttar Pradesh,62705,23442,4158,Faizabad,,
Minor Pulses,45.959999,42.450001,8.3769999,232,2017,12,Uttar Pradesh,60511,21845,5206,Gonda,914.9799909000001,76.248332575
Minor Pulses,70.800003,115.9,3.477,233,2017,12,Uttar Pradesh,76222,28989,12216,Bahraich,979.620011099,81.63500092491667
Minor Pulses,28.799999,26.25,13.429,234,2017,12,Uttar Pradesh,50043,20285,2169,Sultanpur,657.4200000000001,54.785000000000004
Minor Pulses,15.73,11.48,12.232,235,2017,12,Uttar Pradesh,28992,11866,4210,Pratapgarh,713.2200149,59.43500124166667
Minor Pulses,24.969999,19.34,2.779,236,2017,12,Uttar Pradesh,57527,17469,2933,Barabanki,809.9500091990001,67.49583409991668
Minor Pulses,6.54,6.21,2.9100001,237,2017,16,Uttarakhand,117390,15316,6314,Nainital,1305.1199669989999,108.75999724991665
Minor Pulses,8.6499996,7.4699998,0.059999999,238,2017,16,Uttarakhand,428,112,36,Almorah,,
Minor Pulses,10.12,10.43,0.02,239,2017,16,Uttarakhand,475,127,43,Pithorgarh,,
Minor Pulses,2.78,3.05,0.0,240,2017,16,Uttarakhand,86,45,2,Chamoli,1142.370015004,95.19750125033333
Minor Pulses,4.4899998,4.1700001,0.30000001,241,2017,16,Uttarakhand,137,149,33,Uttar Kashi,1081.209999989,90.10083333241666
Minor Pulses,8.5100002,5.3000002,0.02,242,2017,16,Uttarakhand,75,33,2,Tehri Garhwal,1319.79999399,109.98333283250001
Minor Pulses,6.7199998,3.5899999,0.25999999,243,2017,16,Uttarakhand,374,103,6,Garhwal,,
Minor Pulses,3.0999999,3.23,0.13,244,2017,16,Uttarakhand,3319,887,99,Dehradun,1419.330008999,118.27750074991667
Minor Pulses,6.54,6.54,0.0,601,2017,17,Assam,18845,6022,5409,Cachar,3795.7206985000003,316.3100582083334
Minor Pulses,20.65,18.85,0.0,602,2017,17,Assam,17159,5484,4925,Darrang,1534.46326112,127.87193842666666
Minor Pulses,5.7600002,4.8099999,0.0099999998,603,2017,17,Assam,15212,4861,4367,Dibrugarh,2223.67998,185.30666499999998
Minor Pulses,26.629999,19.059999,0.0,604,2017,17,Assam,30285,9638,8693,Goalpara,2917.020001,243.0850000833333
Minor Pulses,32.889999,23.35,2.098,605,2017,17,Assam,27341,8737,7849,Kamrup,2048.8481108,170.73734256666668
Minor Pulses,5.8400002,3.8900001,0.0,606,2017,17,Assam,3226,1031,926,Karbi Anglong,0.0,
Minor Pulses,20.610001,14.18,0.0,607,2017,17,Assam,10347,3306,2966,Lakhimpur,2702.3141776,225.19284813333334
Minor Pulses,10.03,7.21,2.2,609,2017,17,Assam,15521,4960,4456,Nagaon,1654.64000899,137.88666741583333
Minor Pulses,0.079999998,0.059999999,0.0,626,2017,18,Himachal Pradesh,1915,107,45,Bilashpur,,
Minor Pulses,4.1100001,9.4799995,0.34200001,627,2017,18,Himachal Pradesh,1134,88,63,Chamba,1071.82999701,89.3191664175
Minor Pulses,4.23,8.0600004,0.0,629,2017,18,Himachal Pradesh,14180,2766,1409,Kangra,1478.69001199,123.22416766583332
Minor Pulses,0.38,0.80000001,0.315,630,2017,18,Himachal Pradesh,111,64,89,Kinnaur,666.5799931,55.54833275833334
Minor Pulses,3.3,7.4200001,0.0,631,2017,18,Himachal Pradesh,2786,1384,1882,Kullu,1012.249992399,84.35416603325
Minor Pulses,0.36000001,0.81,0.0,632,2017,18,Himachal Pradesh,182,183,109,Lahul & Spiti,,
Minor Pulses,1.72,1.87,0.0,633,2017,18,Himachal Pradesh,2429,474,253,Solan,847.209998,70.60083316666667
Minor Pulses,4.4499998,9.4399996,0.0,634,2017,18,Himachal Pradesh,4378,1152,892,Mandi,1269.5799987999999,105.79833323333332
Minor Pulses,5.1199999,9.8999996,0.090000004,635,2017,18,Himachal Pradesh,6111,2888,6051,Shimla,879.0400111,73.25333425833334
Minor Pulses,4.3200002,9.1099997,0.018999999,636,2017,18,Himachal Pradesh,3375,665,387,Sirmaur,1049.1399862,87.42833218333334
Minor Pulses,0.029999999,0.02,0.0,651,2017,19,Kerala,9747,2587,2629,Alappuzha,1131.58998723,94.2991656025
Minor Pulses,0.83999997,0.60000002,0.0,652,2017,19,Kerala,11783,4305,7718,Kannur,965.229992,80.43583266666667
Minor Pulses,0.07,0.23,0.0,655,2017,19,Kerala,25706,9087,12772,Kottayam,865.2600022,72.10500018333333
Minor Pulses,0.56999999,0.44,0.0,656,2017,19,Kerala,9488,3722,7182,Kozhikode,510.7399968,42.5616664
Minor Pulses,,,,657,2017,19,Kerala,9128,3381,5504,Malappuram,429.52999689,35.7941664075
Minor Pulses,0.16,0.20999999,0.0,658,2017,19,Kerala,28176,5271,6717,Palakkad,718.110002,59.84250016666667
Minor Pulses,0.039999999,0.02,0.0,659,2017,19,Kerala,6507,3559,4216,Kollam,1140.8200099,95.06833415833334
Minor Pulses,,,,660,2017,19,Kerala,12512,3057,4532,Thrissur,953.7999799,79.48333165833334
Minor Pulses,0.029999999,0.029999999,0.0,661,2017,19,Kerala,6500,1439,809,Thiruvananthapuram,933.6300241,77.80250200833333
Minor Pulses,37.639999,33.259998,1.05,901,2017,2,Bihar,125927,46593,20330,Champaran,,
Minor Pulses,43.279999,31.700001,2.1500001,902,2017,2,Bihar,109463,43421,21188,Muzaffarpur,830.1700001099999,69.1808333425
Minor Pulses,50.139999,38.41,2.5699999,903,2017,2,Bihar,79877,31528,13340,Darbhanga,1216.00998598,101.33416549833333
Minor Pulses,52.220001,28.780001,3.3900001,904,2017,2,Bihar,44082,18294,11692,Saharsa,1101.630021,91.80250174999999
Minor Pulses,5.5500002,4.9000001,1.42,906,2017,2,Bihar,65685,16211,3535,Saran,529.98999122,44.165832601666665
Minor Pulses,57.09,79.260002,3.1900001,907,2017,2,Bihar,90899,24771,4278,Patna,700.57999799,58.38166649916667
Minor Pulses,26.27,26.76,3.9000001,908,2017,2,Bihar,125661,42562,21130,Mungair,,
Minor Pulses,14.78,11.29,3.5899999,909,2017,2,Bihar,60780,19306,11211,Bhagalpur,958.22998799,79.85249899916667
Minor Pulses,,,,910,2017,15,Jharkhand,29186,28287,7303,Santhal Paragana / Dumka,,
Minor Pulses,26.299999,26.35,0.81,911,2017,2,Bihar,162928,50799,7932,Shahabad (now part of Bhojpur district),,
Minor Pulses,59.869999,58.490002,4.4899998,912,2017,2,Bihar,99317,30221,4369,Gaya,765.72999009,63.8108325075
Minor Pulses,,,,913,2017,15,Jharkhand,15376,11091,1486,Hazaribagh,1338.560020901,111.54666840841666
Minor Pulses,,,,914,2017,15,Jharkhand,427,297,82,Dhanbad,1192.630021098,99.3858350915
Minor Pulses,,,,915,2017,15,Jharkhand,16063,8959,1702,Palamau,,
Minor Pulses,,,,916,2017,15,Jharkhand,28893,20374,3949,Ranchi,1360.9200042969999,113.41000035808332
Minor Pulses,,,,917,2017,15,Jharkhand,2588,1600,122,Singhbhum,,
