crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,total_rainfall,average_rainfall,salinity_alkalinity_percent
Minor Pulses,80.949997,75.172498675,9.78924999925,41,2017,6,Madhya Pradesh,35199.0,21501.0,1209.0,Rajgarh,762.630020109,63.55250167575,0.0
Minor Pulses,75.370003,71.919998,9.78924999925,42,2017,6,Madhya Pradesh,27278.0,21798.0,3008.0,Shajapur,761.0700202,63.42250168333334,0.0
Minor Pulses,138.81499772499998,75.172498675,9.78924999925,43,2017,6,Madhya Pradesh,87707.0,51050.0,5087.0,Hoshangabad,861.3400001,71.77833334166667,0.0
Minor Pulses,113.74,61.810001,0.0,44,2017,1,Andhra Pradesh,55301.0,19214.0,13016.0,Srikakulam,906.65000498,75.55416708166666,0.0
Minor Pulses,45.830002,31.959999,0.0,45,2017,1,Andhra Pradesh,48118.0,9836.0,7491.0,Visakhapatnam,773.7531334678287,64.47942778898572,6.315481563285714
Minor Pulses,41.200001,30.540001,0.0099999998,46,2017,1,Andhra Pradesh,84246.0,30862.0,24577.5,East Godavari,973.235020036,81.10291833633333,0.0
Minor Pulses,47.009998,37.470001,9.78924999925,47,2017,1,Andhra Pradesh,106191.0,49578.0,24577.5,West Godavari,882.666894259,73.55557452158332,0.0
Minor Pulses,138.81499772499998,75.172498675,0.0,48,2017,1,Andhra Pradesh,84529.0,39105.0,20768.0,Krishna,735.1999979,61.26666649166666,11.94890312
Minor Pulses,95.970001,75.172498675,9.78924999925,49,2017,1,Andhra Pradesh,162561.25,63055.5,24577.5,Guntur,667.660011,55.63833425000001,16.86394141
Minor Pulses,28.440001,16.68,0.061000001,50,2017,1,Andhra Pradesh,98386.0,38207.0,20817.0,S.P.S. Nellore,773.7531334678287,64.47942778898572,6.315481563285714
Minor Pulses,30.959999,28.610001,9.2060003,51,2017,1,Andhra Pradesh,140564.0,63055.5,24577.5,Kurnool,494.1200031,41.176666925,12.74332121
